"provincia_id","provincia_nombre","apellido","ranking","porcentaje_poblacion_portadora"
6,"Buenos Aires","González",1,1.72
6,"Buenos Aires","Rodríguez",2,1.326
6,"Buenos Aires","Gómez",3,1.219
6,"Buenos Aires","Fernández",4,1.147
6,"Buenos Aires","López",5,1.092
6,"Buenos Aires","Martínez",6,1.013
6,"Buenos Aires","Díaz",7,0.852
6,"Buenos Aires","García",8,0.794
6,"Buenos Aires","Pérez",9,0.771
6,"Buenos Aires","Sánchez",10,0.713
6,"Buenos Aires","Romero",11,0.688
6,"Buenos Aires","Benítez",12,0.592
6,"Buenos Aires","Sosa",13,0.496
6,"Buenos Aires","Ramírez",14,0.496
6,"Buenos Aires","Ruiz",15,0.474
6,"Buenos Aires","Álvarez",16,0.472
6,"Buenos Aires","Torres",17,0.44
6,"Buenos Aires","Acosta",18,0.436
6,"Buenos Aires","Rojas",19,0.416
6,"Buenos Aires","Medina",20,0.407
10,"Catamarca","Carrizo",1,1.986
10,"Catamarca","Díaz",2,1.549
10,"Catamarca","Romero",3,1.513
10,"Catamarca","Rodríguez",4,1.399
10,"Catamarca","Herrera",5,1.364
10,"Catamarca","Nieva",6,1.223
10,"Catamarca","Barrionuevo",7,1.062
10,"Catamarca","González",8,0.981
10,"Catamarca","Gómez",9,0.962
10,"Catamarca","Vega",10,0.951
10,"Catamarca","Moreno",11,0.861
10,"Catamarca","Córdoba",12,0.829
10,"Catamarca","Bazán",13,0.805
10,"Catamarca","López",14,0.777
10,"Catamarca","Gutiérrez",15,0.775
10,"Catamarca","Quiroga",16,0.714
10,"Catamarca","Soria",17,0.692
10,"Catamarca","Castro",18,0.679
10,"Catamarca","Álvarez",19,0.642
10,"Catamarca","Martínez",20,0.639
22,"Chaco","Gómez",1,2.716
22,"Chaco","González",2,2.204
22,"Chaco","Fernández",3,1.812
22,"Chaco","Romero",4,1.615
22,"Chaco","López",5,1.579
22,"Chaco","Sánchez",6,1.317
22,"Chaco","Ramírez",7,1.243
